rank,player,real_time,comment,date,category
790,wwpooka,1:11:53,It's a start...,2014-04-20,Any%
791,unlink,1:11:59,,2016-12-16,Any%
792,turtleolight,1:12:04,,2020-08-15,Any%
793,palid0r,1:12:14,,2017-04-24,Any%
794,Absolome,1:12:16,so much time spent for such a small improvement,2017-02-27,Any%
795,boostin,1:12:18,,2018-04-20,Any%
796,Frankerztein,1:13:14,Bad run and bad quality on the video :/,,Any%
797,CLAPION,1:13:16,3 Heineken,2015-07-22,Any%
798,leafeonz,1:13:17,deathless,2017-03-30,Any%
799,ilexiris,1:13:35,,2017-10-02,Any%
800,TaylorTotFTW,1:13:55,shit luck also im bad,,Any%
801,Wedge,1:14:00,I have no recording equipment. I just did it on my home console and tv. This is my first run I timed,2017-03-24,Any%
802,MattBitner,1:14:08,First Submission,2018-04-08,Any%
803,rdh2121,1:14:14,"1st full run! Sub-1:10, here I come!",2016-05-20,Any%
804,PcCosplays,1:14:27,Last PB was back in June of 2016 and this is like about a 30 sec difference lol,2017-02-18,Any%
805,CozyPLZ,1:14:28,I'm so baddd,2016-01-31,Any%
806,Dorkmaster Flek,1:14:29,"Second real run, MB juked me with the ketchup and I died once",2016-05-29,Any%
807,FrostyDynamic,1:14:50,"My first time recording a super metroid any% run, glad I also got a PB.",2016-02-07,Any%
808,Zelkys,1:15:12,"5th run completed (+ Deathless so that's cool :D),this game is cool, sub 1:10 and sub 1 soon",2015-06-28,Any%
809,fruitbats,1:15:20,,2015-11-14,Any%
809,gambrinus,1:15:20,Making progress,2018-02-10,Any%
811,kinghippo423,1:15:23,Slowly getting here,,Any%
812,SDMX,1:15:50,"First video upload, carving toward sub 1hr.",2021-04-29,Any%
813,Wawlconut,1:16:37,Relief Teacher~,,Any%
814,KrustWhaler,1:17:00,Got nervous about halfway through. Need to learn zebskip!,2022-05-21,Any%
815,Laseki,1:17:09,im bad,2017-06-07,Any%
816,DiabolicalWench,1:17:25,old route pleb edition ? almost a -5 min save! my 4th pb ever  video does start in about the middle,2018-01-31,Any%
817,oceane1990,1:17:39,,2016-11-04,Any%
818,Utixsda,1:17:43,My first speedrun super metroid.,2017-04-24,Any%
819,CrazyAl,1:17:47,first any% pb,2019-08-14,Any%
820,Grimlock,1:17:51,That’s not bad for a pointy-eared elvish princeling,2020-05-31,Any%
821,Zarby89,1:18:18,first pb,2016-04-17,Any%
822,xStiglitz,1:18:50,If I had a controller I could break the hour,2015-02-21,Any%
823,Cursetyl,1:18:52,Still the worst,2016-01-02,Any%
824,juanquapha,1:19:11,"1st attempt, wanted to work toward a sub90, guess I should aim higher... XD",2015-07-15,Any%
825,xMewton,1:19:20,That was my first time playing cx,2016-06-21,Any%
826,NewbornZyntax,1:19:36,"This will do for now, I shall improve it some other time.",2017-08-26,Any%
827,dias289,1:19:48,;D,2016-05-31,Any%
828,dahoboking,1:19:51,gotta get dat Zeb skip!,2016-07-01,Any%
829,Megaslushboy,1:20:15,Will be getting a cap card soon to run streams of this.,2016-01-09,Any%
830,kidcrona,1:21:36,First single segment clear of KPDR,2016-12-18,Any%
831,GMJack,1:21:58,"Practiced route for many hours, and shaved a whole 11 minutes off my pb!",2017-03-05,Any%
832,Dytmook,1:22:06,Aly got a tripod,2017-05-22,Any%
833,Kit43,1:22:30,Run starts about 9 mins in,2019-04-03,Any%
834,Bocku,1:22:58,Saved 7 min compared to my first run!,2016-07-29,Any%
835,ChristosOwen,1:23:36,More of a brisk walk than a run,2016-11-02,Any%
836,Skuttie,1:23:37,I may have started timer early.,2016-07-19,Any%
837,Zale,1:24:10,Uploading all my year old pb's in games I don't run anymore for archiving. Originally played 7/11/18,2019-06-09,Any%
838,mogue,1:24:28,It's a start.,2016-05-20,Any%
839,TheHockeytowner,1:24:59,Oh my,2019-03-17,Any%
840,Goldphnx,1:25:07,going for that sub 1,2015-12-26,Any%
841,13 yr old,1:25:24,damn shinespark :/,2019-11-08,Any%
842,GhostZ79,1:25:45,"Got the zeb skip, need to die less. Still, improvement!",2016-07-26,Any%
843,robf00f,1:26:38,"How did I sub 1:30 on my first run, played on snes9x 1.5.2",2016-07-23,Any%
844,GGDuane,1:26:53,,2017-06-06,Any%
845,FiliVig,1:27:44,when you do a blind run of a game that has the hardest controls you have ever played,2017-03-08,Any%
846,satb,1:28:07,"Died once at Ridley, 33% items",2019-06-12,Any%
847,playingg0d,1:29:39,sub 1:30!!!,2016-01-16,Any%
848,Bucketandamop,1:30:16,first time trying a swift play,2019-01-06,Any%
849,nccrochet,1:30:21,"Still a serious scrub, just gotta start grinding and learning new things",2016-06-28,Any%
850,Naisu,1:30:32,i suck,2019-02-06,Any%
851,MrPzak,1:30:49,First full run. Can't complain.,2015-12-09,Any%
852,IvoryFrost,1:32:44,New PB even though I forgot the wave beam and had to go back for it :/,2016-12-30,Any%
853,FoxLisk,1:32:48,,2022-04-19,Any%
854,Musano,1:33:18,Moving on up!!,2021-04-04,Any%
855,notlikethesoup,1:35:09,at least 25 mins lost to deaths lol,2022-10-09,Any%
856,MonsieurPommes,1:35:59,"It's under 1h36 at least, not bad for my first completed speedrun... ever !",2022-04-01,Any%
857,jewelediris,1:37:14,,2016-10-23,Any%
858,PuffTMagicDragon,1:37:20,It's a Long Way to Tipperary,2023-04-17,Any%
859,DarkSpazer,1:40:22,"Second run, shaved off 35:54!",2020-11-01,Any%
860,PvtCb,1:40:56,Oof!,2018-08-19,Any%
861,smartalec0624,1:41:41,Watch out Zoast,2016-09-17,Any%
862,verymario,1:45:20,told ya  also i restart to get some candy near the beginning,2017-06-12,Any%
863,masonraus,1:48:19,57 IGT,2017-01-28,Any%
864,Jason,1:51:00,First speedrun after a weeks worth of practising.,2017-02-07,Any%
865,igetstuckonrandomobjects,1:52:27,hi mom,2017-04-12,Any%
866,clailton,1:53:34,Mais um Br na parada,2018-01-22,Any%
867,TheIrishBub,2:00:00,"First run. I didn't have a timer running, so I overestimated the real time.",2017-02-21,Any%
868,DeathbyGamingFTW,2:06:00,technical difficulty in the beginning and i overestimated due to my error,2018-04-22,Any%
869,armpitpuncher,2:07:53,"first time streaming, will have vod next time",2015-02-05,Any%
870,HUmanMustard,2:09:00,First Attempt in 10 years,2017-06-06,Any%
871,dangutang,2:14:35,Ben is soo cool.  I only died twice...  Weeble wabble!,2017-10-15,Any%
872,alexanderjames,2:15:00,trying to improve my time by cutting down on items.,2017-06-06,Any%
873,mrsmatrixugly,2:23:04,Wife of speed runner finishes her first ever speed run PogChamp !!,2017-06-19,Any%
874,K_R4iD,2:35:58,First completed run on stream,2016-08-01,Any%
875,TBCSM,2:37:10,Dont attempt to watch past norfair elevator.,2019-01-06,Any%
876,blondebomb1981,2:42:23,"First Run in 20 years, under 3 hours,Zoast Im coming 4 U!!!",2016-10-15,Any%
877,FusionWarrior,2:50:51,"During Ehlers-Danlos Syndrome Marathon, 1 Death at Ridley, First time recording my progress",2016-07-29,Any%
878,Romain909,2:52:43,Record was set during a METROID MARATHON!!,2017-03-24,Any%
879,SFRookie,2:55:06,Casual Any% run. No research done.,2018-07-17,Any%
880,Shalashalska,3:02:03,DPRK is a perfectly valid boss order,2019-06-10,Any%
881,kuzetsa,3:26:40,"2 hours 42 minutes (ingame time) / Run starts 20 seconds into the stream, ends 3 hours 27 minutes",2016-11-20,Any%
882,CatLoMein,3:34:27,"Probably the worst PRKD run to ever exist, first run ever of any category and the game",2017-10-09,Any%
883,cheekzb99,4:56:32,First full play through of the game,2016-07-15,Any%
884,SecksWrecks,6:49:54,mach ball is free,2016-09-10,Any%
885,XIncognitusX,7:35:58,First time playing,,Any%
886,Lordfartamor,9:36:57,pb!!!,2017-04-24,Any%
1,ShinyZeni,1:12:47,ONE ROUND PHANTOON LET'S GOOOOO,2023-06-21,100%
2,zoast,1:12:55,"Holy swiss cheese, batman",2021-02-24,100%
2,Behemoth,1:12:55,12 Guage awdolodah,2021-12-09,100%
4,Gebbu,1:13:12,survival strategy,2023-05-08,100%
5,Static_Shock,1:13:58,retiming with Avidemux 1:13:58.367,2023-06-10,100%
6,LynxXUnlimited,1:13:59,timed to 1:13:59.84,2023-05-22,100%
7,CScottyW,1:14:18,yay,2023-06-27,100%
8,Bdawgbazinga,1:15:21,woooooooooooooooooooooooooooooooooooooooooooo,2023-06-27,100%
9,OatsNgoats,1:15:45,"""Put it on deertier oats REEEEEEEEEE""",2018-01-16,100%
10,StaticNine,1:15:58,for kipp,2018-07-15,100%
11,Overfiendvip,1:16:11,massive whirlpool,2017-09-20,100%
11,sloaters27,1:16:11,eyes wide open,2020-10-25,100%
13,ARealCutie,1:16:13,Far from home but we're never feelin lonely,2023-06-18,100%
14,Kottpower,1:16:16,slow mid,2017-01-02,100%
15,LakeDemon,1:17:08,"Insane skip, no audio :(",2022-05-31,100%
16,Phuckbutt,1:17:21,,2020-10-20,100%
16,Asfalttisoturi,1:17:21,Nice,2023-03-19,100%
18,TopsyTurve,1:17:25,Scraps,2019-03-24,100%
19,WildAnaconda69,1:17:28,circles brought me here,2017-05-11,100%
20,Osse101,1:17:38,,2020-10-18,100%
21,S_Holbro,1:17:48,better to do it than live with the fear of it,2023-04-25,100%
22,Kipp,1:17:51,Post-Tourney PB,2020-11-06,100%
23,lvan,1:18:02,IM FURIOUS,2016-12-01,100%
24,Just_Defend,1:18:11,I'm happy. I got blue bomber,2018-05-14,100%
25,Enmet,1:18:22,B u z Z F o r C e,2018-06-06,100%
26,sweetnumb,1:18:41,Getting better.  Let's see how low I want to go.,2014-12-25,100%
27,amarovski,1:18:43,,2023-02-28,100%
28,TrueMoss,1:18:47,50 second PB,2018-04-19,100%
29,foosda,1:18:52,http://imgur.com/a/EIfaN,2017-03-01,100%
30,AmBrew86,1:19:26,,2023-03-02,100%
31,EpiclyEpic,1:19:27,Sub 1:20 finally,,100%
32,DbX,1:19:30,nid for spid,,100%
33,Straevaras,1:19:44,"And the base keep runnin' runnin', and runnin' runnin",2018-05-20,100%
34,HemZar,1:19:45,Finally a 1:19!! :D,2022-08-21,100%
35,TheDude9005,1:19:51,"hey, hey hey, hey pocky way :>",2016-12-22,100%
36,Scocro,1:20:06,,2023-06-22,100%
37,Salgadin,1:20:20,DoritosChip,2021-03-02,100%
38,professorschool,1:20:25,"""Derusting""",2022-05-27,100%
39,Fe,1:20:33,0:49,2015-05-17,100%
40,noxiousnick,1:20:45,,2022-05-08,100%
41,hypo,1:20:47,100% is difficult.,2019-09-16,100%
42,Stovetop1321,1:20:49,Definitely a PB. Definitely don't like the run.,2023-04-22,100%
43,skrooger,1:20:56,No one told me my sound was messed up DansGame,2017-01-29,100%
44,Traviktox,1:21:34,,2021-05-14,100%
45,teh_sprizzle,1:21:35,i hav finusht teh intarnetz,2023-05-23,100%
46,WhiteMageBecky,1:21:36,,2018-03-30,100%
47,DasBlurr,1:21:46,"No skip. No video, will PB again after Hybrid.",2015-11-14,100%
48,Edu207,1:21:52,One failed standup prevented 4 bops,2018-07-19,100%
48,bferdowsian,1:21:52,"first 1:21, thanks to my girlfriend Kelsey for all the support :)",2020-08-19,100%
50,magmapeach,1:22:01,shinesparks are hard,2014-10-19,100%
51,nutella4eva,1:22:20,I have no evidence that this ever happened but nobody is reading this anyway,2018-10-11,100%
52,Kronicsauce,1:22:21,OBS dropped the stream at SJ. That's part 1.,,100%
53,Sforzand0,1:22:23,,2022-11-24,100%
54,matrick,1:22:25,Thanks so much to sephy for making this possible <3 Hey there kronic VoHiYo (IGT 0:51),2017-06-16,100%
54,Richman3mm,1:22:25,baby skip.....,2019-08-27,100%
56,MisterJGiggles,1:22:26,Warm Up PB - First 51 IGT - Hit my Sub 1:23 Goal - On to RBO,2019-01-20,100%
57,KRISTOPHOLO,1:22:32,jättekul,2020-10-17,100%
58,kekumanshoyu,1:22:36,baby% (somewhat),2020-09-10,100%
59,Flowsouth8,1:22:37,Time set on a Super NT.,2019-06-02,100%
59,CanadianOwl,1:22:37,heck deetier isn't dead yet,2019-10-27,100%
61,mm2nescartridge,1:22:40,kick ws etank room polarb8Peep,2021-10-28,100%
62,Nintoaster_81,1:22:45,If you ignore Grapple to Gravity segment this was actually a decent run,2018-11-10,100%
62,Hatz,1:22:45,,2023-05-09,100%
64,EurimarSamus,1:22:48,0:51 in game,2019-09-24,100%
65,jakef1891,1:22:50,no baby skip,2016-12-12,100%
66,Dessyreqt,1:22:54,COME AT ME BRO,,100%
67,Elminster,1:22:56,this run was supposed to be dead,2018-07-15,100%
68,timmon,1:23:03,,2018-08-20,100%
69,Zeldafan316,1:23:05,,2020-10-18,100%
70,Freshmaniac,1:23:08,Beefed the 1:22,2019-02-11,100%
71,Benko,1:23:16,Race PB during the 100% tourney :>,2017-01-28,100%
72,Annelits,1:23:17,What a freakin run.,2017-09-11,100%
73,fruitbatsalad,1:23:22,Race PB during 2020 multi-cat tourney,2020-05-13,100%
74,Gari,1:23:28,"Cut the hotarubi, now I just gotta learn 100% B)",,100%
75,Galamoz,1:23:29,mildly disasterous,2016-11-05,100%
75,TalesBandeira,1:23:29,,2018-05-08,100%
77,hotarubi,1:23:34,0:50 in game,2015-01-20,100%
78,Leodox,1:23:40,,2016-12-13,100%
79,kevnastics,1:23:42,"Pb is second run on vod, fuck wrecked ship btw",2023-06-13,100%
80,BrJoker,1:23:46,goal completed,2022-03-27,100%
81,SeanCass,1:23:47,slopfest 2: electric boogaloo,2023-03-31,100%
82,jronaggaz,1:23:48,1 sec pb in tourney race. last split from old splits was inaccurate,2016-12-31,100%
83,Loopuze,1:23:49,Slowly but surely...,2023-05-04,100%
84,Yeahboiii5,1:23:51,1:23 hype ;),2014-12-11,100%
85,Stunt Coyote,1:23:53,1 2 3 Kreygasm!,2016-10-19,100%
86,BFrobber,1:23:54,,2021-07-03,100%
86,PassivePac,1:23:54,No proof but who tf reads these anyway,2021-10-29,100%
88,Eduardo metroid3,1:23:56,Manaus Am,2018-09-17,100%
89,Kanzeon,1:24:08,Did the planets align or something?,2016-09-14,100%
90,CynanMachae,1:24:18,5s off Skino,2022-08-10,100%
91,personitis,1:24:22,1:23 feels right around the corner.,2016-12-18,100%
91,kuru,1:24:22,,2022-07-17,100%
93,CountCreep,1:24:24,I'M COMING KANZ,2017-02-20,100%
94,Shreddaily101,1:24:33,All Hundo pbs come off stream. Back to any for a 48,2017-04-16,100%
94,Maniacal42,1:24:33,,2019-07-08,100%
94,Sweetkid689,1:24:33,:53,2020-06-27,100%
97,Krankdud,1:24:36,,2016-12-13,100%
98,OrangeMonkey,1:24:48,Baby Skip *-*,2017-11-03,100%
99,TGDerp,1:24:50,bopped owl with the worst early game of all time,2019-05-15,100%
100,Avijobat,1:24:56,I've never seen a 1:25 and I never fucking will!! 1:24 BABY!!!,2018-02-19,100%
101,cfb,1:25:04,progress,2016-06-16,100%
102,Glaucio_Souza,1:25:05,"Good run, Bad Bosses!",2022-09-22,100%
103,apathyduck,1:25:08,sure,2020-06-17,100%
104,goop.Q,1:25:10,"couldn't collect #SWAG - solid run, no baby skip",2016-12-02,100%
105,AzulynoT03,1:25:15,I Just Played ´´--´´,2018-11-12,100%
106,Sir Hoptat,1:25:21,LET US GO FORTH!!!,2020-12-25,100%
107,toxicnarcotic,1:25:25,,2017-03-14,100%
108,Road2creations,1:25:28,"Friends, SpeedRUM and pracTAS. Thats how i got here",2023-03-03,100%
109,ExtremeSP1TF1R3,1:25:33,a good run,2014-10-28,100%
110,Kingofthehill476,1:25:35,Hundo grind? What's that?,2019-05-18,100%
111,Tilimorf,1:25:36,Race PB is best PB,2020-10-01,100%
112,Toasty,1:25:38,rossu beat me up,2020-09-27,100%
113,Whewty,1:25:39,"100% Items, Low% Fun",2020-09-27,100%
114,robitalion,1:25:46,,2016-09-10,100%
115,Metroid_Gameplays,1:25:47,"I just now decided to submit on deertier, but it was a good run, but I still have a lot of timesave.",2023-05-13,100%
116,Lexomatico,1:25:48,126 skip FeelsGoodMan,2016-11-27,100%
117,dayne,1:26:07,uh huh,2023-06-10,100%
118,Melonax,1:26:12,"forgot to submit, few months ago",2022-04-03,100%
119,Ruya,1:26:20,(*ﾟﾛﾟ) Back Gauntlet Spark,2016-10-18,100%
120,Ponk,1:26:26,Shoutouts to Mr. 99% and his Rap Music,2018-02-15,100%
121,mrguyaverage,1:26:27,forgot to submit this,2019-08-14,100%
122,MassHesteria,1:26:35,Race PB,2020-10-17,100%
123,Tullymarfus,1:26:39,"It's been a long time, now I'm coming back home",2016-02-21,100%
124,DMC_Sparda,1:26:43,Race PB is best PB,2022-08-06,100%
125,vertex5,1:26:44,tournament race PB,2016-11-28,100%
126,Dhaos TK31,1:26:46,B-day PR aw yiss,2017-03-08,100%
127,TriggerMichael,1:27:04,Escape T_T,2016-11-08,100%
128,Caaaaarlito,1:27:07,=),2016-10-14,100%
129,UNHchabo,1:27:08,Weird Tourian.,2020-07-11,100%
130,dgm,1:27:24,The Not So Great Escape,2022-11-20,100%
131,hilborn,1:27:40,Race PB,2016-12-11,100%
132,redxparasite,1:27:52,Need to run this category more.,2021-04-05,100%
133,DCR,1:28:02,RIP Sub-1:28 :(,2015-01-28,100%
134,heny,1:28:07,I'm cursed ;_;,2014-09-09,100%
135,hazz,1:28:10,,2015-02-07,100%
136,JUAN,1:28:11,yedude,2018-09-08,100%
137,Timochun,1:28:18,,2017-04-01,100%
138,Zetsu,1:28:30,"The real run starts to 3:09 min. Skip my mistakes, or not. Thank You! ✌️😎",2018-01-07,100%
139,Nikplayer,1:28:32,Finally did a new record first 0:57 game time :D,2019-04-09,100%
140,Brother main,1:28:33,,2014-10-13,100%
141,total,1:28:38,,2017-01-23,100%
141,Laanyy,1:28:38,,2017-12-29,100%
143,MumuDidi,1:28:43,cool,2019-08-13,100%
144,abortion_shark,1:28:47,i can vomit a better run than this,2016-06-30,100%
145,Classic_games94,1:28:53,Sub 1:30 *_*,2021-09-25,100%
146,CrimzenJ,1:28:57,first hundo of the 1:2x range and skipped 1:28 and 58 igt,2023-01-02,100%
147,Philament,1:29:00,Bad. 1:00 behind going into Maridia. Stream got screwed up so no vid DansGame.,2015-03-30,100%
148,Oneiam82,1:29:09,My first ever Sub-130 Hundo PB:  Dedicated in memory of Jonas Neubauer,2021-03-02,100%
149,rkctkc,1:29:11,,2020-09-08,100%
150,Tris255,1:29:22,,2019-09-17,100%
151,stump,1:29:29,This somehow happened on my first time playing the game again in a month.,2017-06-06,100%
152,b4ttous4i,1:29:31,Tom Hanks,2021-09-26,100%
153,SapphireRyoko,1:29:34,"Fast first and third quarter, slow second and fourth quarter",2015-04-04,100%
154,innorush,1:29:36,Sub 1:30. 'Bout F-ing time...,2017-02-22,100%
155,Thorneto,1:29:37,Tourian was a big yikes,2020-02-22,100%
156,Alex_X8,1:29:38,My first sub 1:30:00,2021-04-02,100%
157,CrustaceanSeven,1:29:41,super metroid swan song <3,2023-05-06,100%
158,juliohfoliveira,1:29:45,First sub 1:30 Pog,2021-03-02,100%
159,Loogy,1:29:53,,2022-09-27,100%
160,AgentKoolaid,1:29:54,Diggy Diggy Dun Dun,2016-11-08,100%
161,Mchan338,1:29:56,Brb practice,2017-11-21,100%
161,kelcharge,1:29:56,2nd run of hundo (:,2018-02-17,100%
163,Maisgueuh,1:29:57,,2018-03-12,100%
164,kojakt,1:29:58,sometimes I pb,2016-01-16,100%
164,anonymousesxa,1:29:58,super nintendo,2017-07-08,100%
166,Marshio64,1:29:59,Finally! Got the sub 1 hr 30 min real time I've been pining for!,2022-05-02,100%
167,Ryehana,1:30:01,,2017-06-29,100%
168,Smokey,1:30:04,10yr-old strats.,2014-08-03,100%
169,Eduardocruz25,1:30:08,igt 58 keyboard,2017-12-31,100%
170,BluePlasmaSpark,1:30:12,maridia sux,2018-06-08,100%
171,F-Bomb,1:30:26,Done in 2012 using the current day strats. 7 vids sorry.,2014-09-04,100%
172,Lioran,1:30:27,I don't run this category... anymore,,100%
172,vegetafan3,1:30:27,purrgress    (Next trick to learn: Metroid skip),2018-05-27,100%
174,wordspoken,1:30:28,Fell at GT missiles ¯\_(ツ)_/¯,2021-09-01,100%
175,Raine_BT,1:30:31,"Nice time, revisit later",2022-06-23,100%
176,Meneldur,1:30:37,Course corrected,2020-03-07,100%
177,Caznode,1:30:38,bulletball hype,2014-06-16,100%
177,Rumbleminze,1:30:38,0:59 IGT,2018-02-04,100%
179,zealous_benediction,1:30:50,The menus...ohgod,2014-09-27,100%
180,stealinbread,1:30:55,almost sub 1 3 0,2017-07-14,100%
180,Derxu,1:30:55,"3rd run, missed sub 1:30",2019-05-04,100%
182,jaysee87,1:30:56,Tourney race vs Leodox,2016-12-11,100%
183,Danetch,1:30:57,no video. only SRL record is available.,2015-05-09,100%
184,Chish,1:30:58,late croc,2020-09-26,100%
185,Komaru,1:31:02,Retimed at 1:31:02,2020-09-05,100%
186,Spiffy,1:31:04,getting better. still need to polish the bosses.,2016-07-13,100%
187,stefcad,1:31:07,Sub 1H30 would be nice,2017-01-12,100%
188,BigBird,1:31:08,Slowly improving,2016-10-25,100%
189,MetroidMst,1:31:12,WOOOOO! Got my 0:59 game time finally! - D e e R F o r C e -,,100%
189,uzitalo,1:31:12,Finally IGT 0:59 :) 294 tries,2020-03-02,100%
191,hero_82,1:31:16,why i no can 1:30? bc bad.,2018-05-12,100%
191,Boix,1:31:16,first sub hour IGT :),2021-09-05,100%
193,Kirbywantstofly,1:31:18,I hate everything,2016-12-17,100%
194,Shenjoku,1:31:21,Metroids were very clingy today,2017-02-10,100%
195,EODTex,1:31:24,"I was sick, OK?!",2016-12-10,100%
196,Karenkonou,1:31:37,,2017-09-20,100%
197,McBrady,1:31:43,,2019-10-28,100%
198,mechashiva,1:31:54,route pb and real pb. ice clip route.,2016-12-30,100%
199,ptoil,1:31:57,,2020-01-21,100%
200,Natan_Anile,1:32:10,"Lo and memes on screents of timesave, fake gold split in Ice Beam. Memes on screen",2021-12-24,100%
201,Manashne,1:32:17,Missed Kraid quick kill. Yep.,2017-06-05,100%
202,janxton,1:32:23,"wherever you go, there you are.",2017-01-23,100%
203,saberkok,1:32:39,missed the skip,2015-08-26,100%
204,Sirotaca,1:32:47,"Abysmal early game, decent late game.",2017-06-11,100%
205,laplace14,1:32:50,Got that d factor and that p factor,2022-07-09,100%
206,mildouse,1:32:53,end game was puke,2018-08-31,100%
207,idlechild,1:32:54,"Only one wrong turn, got the yolo skip",2022-03-04,100%
208,darko,1:33:02,Special Thanks to Kayomi McDonald,2016-10-30,100%
208,tewfus,1:33:02,"Sick run... as in, I'm sick and thought this was a good idea???",2018-02-15,100%
210,PSIcoh,1:33:12,its getting better all the time,2019-02-06,100%
211,Soppanaama,1:33:28,Getting closer to that sub 1h igt ^^,2016-09-29,100%
212,armedgooner,1:33:34,Merci Arsène,2018-04-21,100%
213,Jighart,1:33:39,"2 seconds late, rip the dream",2016-12-27,100%
214,Wubbsdingus,1:33:47,better than yesterday,2020-06-19,100%
215,jooniejoone,1:33:51,glad I pbed this disaster,2019-03-18,100%
216,runnerwatcher,1:33:55,,2016-11-17,100%
217,ironman140_6,1:33:58,now to learn the zeb skip... and damage boosting. i should know how to damage boost.,2022-09-26,100%
218,skorph2014,1:34:08,"For some reason didn't submit this, did now!",2015-11-17,100%
218,Ddraigheliwr88,1:34:08,Had to backtrack to cosine missiles!,2018-11-20,100%
220,redy9567,1:34:12,"I'd like to dedicate this run, to me remembering all of the items",2018-02-25,100%
221,JonIIDX,1:34:18,"2 video parts, sorry.  Sub 1:35!!",,100%
222,Caperelli,1:34:25,Space jump is broken in cathedral,2022-10-21,100%
223,IrisIsotheis,1:34:27,When will I be able to zeb skip tho?,2019-09-11,100%
224,FaeRhan,1:34:41,,2015-06-21,100%
224,PapaSchmo,1:34:41,,2020-09-26,100%
224,CnEY,1:34:41,Finally came back to this after 2+ years. 5 runs later and I've knocked 2 minutes off my old PB.,2021-08-05,100%
227,Longneckturtle,1:34:43,,2016-11-27,100%
228,Schmeman,1:34:44,second attempt,2017-02-25,100%
229,mugick,1:34:46,We're all counting on you,2021-02-15,100%
230,Dorkmaster Flek,1:34:52,"Skipped the 1:35, straight to 1:34!  Sub 1:35 FeelsGoodMan",2016-12-04,100%
231,adversary,1:35:01,"1:03 GT, I just want to cut that hour, some day... some day.",2014-08-24,100%
232,izerli,1:35:14,stupid mistakes,2017-10-02,100%
233,Cutsman,1:35:18,Scary Ghoti :D,2019-12-30,100%
234,Rockslan Gaiden,1:35:19,New Record Rockslan 1:02 ingame,2017-06-29,100%
235,sevens1ns,1:35:27,1:03 IGT; sub 1 soon? :D,2015-09-08,100%
236,thundermustache,1:35:29,time to hit the lab,2016-12-21,100%
237,chaide,1:35:30,1:03 Game Time,,100%
237,daddypnot3d,1:35:30,COOL SOCK HYPE,2014-11-25,100%
239,Mattoi,1:35:40,"third full run, decent",2019-03-08,100%
240,Sinnoh,1:35:41,lol,2014-05-24,100%
241,l33m,1:35:45,"Miss quick Kraid, aquire PB",2014-10-29,100%
242,Tyderium,1:35:53,Slow improvement,2017-11-12,100%
243,starisms,1:35:57,What a way to PB!,2019-01-21,100%
244,denis1080,1:35:58,I will eventually be able to do the run without a split for every item!,2016-02-01,100%
245,Nighty93,1:35:59,Sup Jro and Charles <3,2014-07-01,100%
246,crazytrain276,1:36:12,Improving in the future :),,100%
247,nifty,1:36:22,GT Missiles are the hardest part of this whole run,2021-08-24,100%
248,palanin,1:36:23,Saved by a not shit escape,2018-01-30,100%
249,steelball78,1:36:44,,2015-03-30,100%
250,v1ncelol,1:36:48,Old bad run but still submitting it,2021-04-21,100%
250,wladiyeah,1:36:48,CRAZY ONEHANDED 1 SEC DERUST HUNDO WR/PB WTF! Btw guys the run starts at 3:51,2022-06-23,100%
252,Just_adz,1:36:50,"Damn son, where'd you find this?!",2018-08-28,100%
253,marshmakie,1:36:55,tourian :U,2016-12-05,100%
254,hacksaww,1:36:57,,2020-11-08,100%
255,spimmmm,1:37:15,offstream casual fun. missed shinespark in escape B) (1:05 GT),,100%
256,yoshiyukiblade,1:37:20,First submission! (1:06 IGT),2018-09-10,100%
257,MasterGTS,1:37:23,Cut the Vorpal!,2015-01-31,100%
257,louxinho,1:37:23,"1:05 IGT, a lot of work for sub 1:00",2016-11-15,100%
259,fslynx,1:37:27,derust,2014-11-15,100%
260,Odyssic,1:37:31,"haven't ran the game in over a year so idk I wanna return, game was just a fun little side speedrun",2016-12-28,100%
261,vorpal,1:37:32,proud I remembered the route,,100%
262,marcoskwkm,1:37:33,Can be improved,2014-08-03,100%
263,Popplars,1:37:36,,2018-02-05,100%
264,doicm,1:37:54,1:05 in-game. Getting closer to sub 1,,100%
265,Triddy243,1:37:59,Smashed it.,2015-06-25,100%
266,TestRunner,1:38:05,,,100%
267,DjMajette,1:38:10,"Well, that was quick. Don't troll and its a 1:37",2016-11-23,100%
268,raikourider,1:38:12,Etecoon pit is aids,2019-10-27,100%
269,arus3,1:38:19,1:06 IGT,2016-03-13,100%
270,bastion_blue_succubus87,1:38:20,Run felt great!,2022-06-09,100%
271,FriendGuy,1:38:23,"Blah run, can do better (GT - 1:06)",,100%
272,gloobygloob,1:38:24,,2020-10-08,100%
273,linkherooftime64,1:38:32,40s pb with a 5 round phantoon,2019-08-02,100%
274,MustardCabbage,1:38:36,Can't record these yet.  Pretty proud of this one although I missed the full halfie by about a frame,2017-03-14,100%
275,iora,1:38:41,1:06 gt - minor race pb :D?,,100%
276,kath_nanaya,1:38:46,heck space jump,2019-10-23,100%
277,PiePusher11,1:38:55,THE HALFIE! Kreygasm,,100%
277,hopespell,1:38:55,You know I would walk a thousand miles,2021-01-24,100%
279,Pollsmor,1:39:09,,2016-11-25,100%
280,clailton,1:39:11,sub,2018-09-06,100%
281,Di10kong,1:39:44,Sub 100 !,2017-01-22,100%
